support,support_slug,categorie,lectorat,canal,NEW_01_Supports_Variants 2
IMAGES EN OPHTALMOLOGIE,images-en-ophtalmologie,Ophtalmologie,Ophtalmologistes libéraux et hospitaliers,Print,images-en-ophtalmologie::print
INDUSTRIES COSMETIQUES,industries-cosmetiques,Industrie : cosmétique,"Professionnels de la cosmétique (production, conception, R&D)",Print,industries-cosmetiques::print
INFFO FORMATION,inffo-formation,Ressources Humaines,"Décideurs et financeurs de la formation, services RH des entreprises, prestataires de formation",Print,inffo-formation::print
INFIRMIERS,infirmiers,Soins Infirmiers,Infirmiers,"Web,NL","infirmiers::web::300x600-300x250mobile,infirmiers::web::728x90-320x50mobile,infirmiers::nl"
INFO CYBER RISQUES,info-cyber-risques,Direction informatique,"Professionnels de la sécurité des systèmes d'information, DSI",Print,info-cyber-risques::print
INFOBUROMAG,infoburomag,Direction achat,"Achat, services généraux, ET, informatique, direction administrative et financière, direction, ergonome, prévention, secrétariat",Print,infoburomag::print
INNOVATION ET THERAPEUTIQUES EN ONCOLOGIE,innovation-et-therapeutiques-en-oncologie,Oncologie,Cancérologues,Print,innovation-et-therapeutiques-en-oncologie::print
INTRAMUROS,intramuros,Architecture - Urbanisme,"Architectes d'intérieur, Architestes, Designers, Agenceurs, Industriels et éditeurs, Promoteurs immobiliers, Ecoles et instituts de formation, Etudiants en design et archi",Print,intramuros::print
INVESTISSEMENT CONSEILS,investissement-conseils,Professionnels de la finance,"CGP, experts comptables, notaires, conseils en investissements financiers, avocats","Print,Web,NL","investissement-conseils::print,investissement-conseils::web::1180x145,investissement-conseils::web::250x250,investissement-conseils::nl"
IT FOR BUSINESS,it-for-business,Direction informatique,"DSI, DAF, Marketing, Logistique, Production, Ressources Humaines","Print,Web,NL","it-for-business::print,it-for-business::web::970x90-300x600-300x250mobile,it-for-business::nl"
J2R,j2r,Garagistes,"Mécaniciens réparateurs agréés (40%), Distributeurs (18%), Agents réparateurs agréés (17%), Centres-autos (11%), Carrossiers (10%), Equipementiers (2%), Groupements (2%)","Print,Web,NL","j2r::print,j2r::web::1000x150,j2r::web::300x600-300x250mobile,j2r::nl"
J3E,j3e,Bâtiment - Artisanat,"Prescripteurs, installateurs et exploitants d'équipements électriques et communicants dans les infrastructures, les bâtiments industriels et tertiaires",Print,j3e::print
JAUTOMATISE,jautomatise,Robotique,"Utilisateurs finaux dans le domaine de l'automatisation, l'industrie, la robotique, la vision-identification, les réseaux de communication et de l'informatique industrielle",Print,jautomatise::print
JOURNAL D'IMAGERIE DIAGNOSTIQUE,journal-d-imagerie-diagnostique,Radiologue,Radiologues,Print,journal-d-imagerie-diagnostique::print
JOURNAL DE CHIRURGIE VISCERALE,journal-de-chirurgie-viscerale,Chirurgie,"Chirurgiens digestifs, chirurgiens généraux et universitaires",Print,journal-de-chirurgie-viscerale::print
JOURNAL DE L'ASSEMBLEE DE LIAISON,journal-de-l-assemblee-de-liaison,Notaires,Notaires de France,Print,journal-de-l-assemblee-de-liaison::print
JOURNAL DE PHARMACIE CLINIQUE,journal-de-pharmacie-clinique,Pharmaciens hospitaliers,"Pharmaciens hospitaliers, professionnels et chercheurs de l'industrie pharmaceutique",Print,journal-de-pharmacie-clinique::print
JOURNAL DES COMMUNES,journal-des-communes,Collectivités locales,"Elus municipaux et communautaires, services centraux et techniques municipaux, services d'Etat",Print,journal-des-communes::print
JOURNAL DES ENTREPRISES,journal-des-entreprises,Dirigeants de TPE/PME,"Décideurs en régions. 43% Direction Générale, 17% Marketing,  10% Commercial, 7% Ressources humaines, 3% Administratif, 3% Service Généraux, 3% Financier","Print,Web,NL","journal-des-entreprises::print,journal-des-entreprises::web::728x90floorad-300x600-300x250mobile,journal-des-entreprises::nl"
JOURNAL DES MAIRES,journal-des-maires,Collectivités locales,"Elus, agents territoriaux et décideurs locaux","Print,Web,NL","journal-des-maires::print,journal-des-maires::web::728x90-300x250mobile,journal-des-maires::nl"
JOURNAL DU PARLEMENT,journal-du-parlement,Politique,"Ministères, députés, sénateurs, conseil économique, social et environnement, conseils régionaux, conseils territoriaux",Print,journal-du-parlement::print
JOURNAL DU PNEUMATIQUE,journal-du-pneumatique,Garagistes,"Manufacturiers, professionnels du rechapage, importateurs, grossistes, négociants spécialistes, acteurs de l'après-vente automobile (centre-auto, fast-fitters, sites internet...), fournisseurs d'équipements, gestionnaires de flottes","Print,Web","journal-du-pneumatique::print,journal-du-pneumatique::web::300x600-300x250mobile,journal-du-pneumatique::web::1000x150"
JOURNAL FRANÇAIS D'OPHTALMOLOGIE,journal-fran-ais-d-ophtalmologie,Ophtalmologie,Ophtalmologistes,Print,journal-fran-ais-d-ophtalmologie::print
JOURNAL MARKET,journal-market,Ameublement,"Tous les professionnels du meuble : fabricants, distributeurs, négociants, centrales d'achats, designers, fournisseurs de l'ameublement, détaillants et représentants",Print,journal-market::print
KINE ACTUALITE,kine-actualite,Kinésithérapie - Sage-femme,Kinésithérapeutes libéraux et hospitaliers,"Print,Web,NL","kine-actualite::web::250x250,kine-actualite::nl,kine-actualite::print"
KINESITHERAPIE LA REVUE,kinesitherapie-la-revue,Kinésithérapie - Sage-femme,Kinesithérapeutes,Print,kinesitherapie-la-revue::print
KINESITHERAPIE SCIENTIFIQUE,kinesitherapie-scientifique,Kinésithérapie - Sage-femme,Kinésithérapeutes,Print,kinesitherapie-scientifique::print
L'ACTIVITE IMMOBILIERE,l-activite-immobiliere,Immobilier,"Administrateurs de biens, gérants d'immeubles, syndics de copropriété, spécialistes de la transaction immobilière, promoteurs immobiliers, experts fonciers, juristes spécialisés",Print,l-activite-immobiliere::print
L'ANTENNE,l-antenne,Industrie : Transport logistique,Professionnels du transport et de la logistique,Print,l-antenne::print
L'ASSMAT,l-assmat,Education,"Assistantes maternelles employées par les particuliers, communes ou associations, Responsables de crèches familiales ou MAM, RAM (Relais assistantes maternelles), Assistantes familiales (familles d'accueil), Collectivités territoriales et associations",Print,l-assmat::print
L'AUTRE CUISINE,l-autre-cuisine,Restauration collective,"Restauration collective en collectivités locales, santé, 3ème âge, entreprises",Print,l-autre-cuisine::print
L'AUVERGNAT DE PARIS,l-auvergnat-de-paris,Hôtellerie-Restauration,"Cafés, brasseries, hôtels, restaurants",Print,l-auvergnat-de-paris::print
L'ECLAIREUR DES COIFFEUR,l-eclaireur-des-coiffeur,Coiffure,Professionnels de la coiffure : indépendants ou franchisés (magazine d'informations professionnelles sociales et juridiques),"Print,Web,NL","l-eclaireur-des-coiffeurs::web::250x250,l-eclaireur-des-coiffeurs::web::990x180,l-eclaireur-des-coiffeur::nl,l-eclaireur-des-coiffeurs::print"
L'ELEVEUR LAPIN,l-eleveur-lapin,Elevage,Eleveurs de lapins,Print,l-eleveur-lapin::print
L'ENSEIGNANT,l-enseignant,Education,"Enseignant de premier et second degré, professeurs documentalistes, les CPE",Print,l-enseignant::print
L'ESSENTIEL,l-essentiel,Vétérinaires,Vétérinaires praticiens et cliniques vétérinaires,Print,l-essentiel::print
L'ESSENTIEL DE L'OPTIQUE,l-essentiel-de-l-optique,Opticiens,"Industriels, managers et décideurs de la filière, Acheteurs des enseignes et des centrales,",Print,l-essentiel-de-l-optique::print
L'EXPRESS,l-express,Dirigeants de TPE/PME,"Chefs d'entreprise, top managers, décideurs en entreprise",Web,l-express::web::970x250-300x600-300x250mobile
L'HEMICYLE,l-hemicyle,Politique,"Elus et hauts fonctionnaires : les parlementaires (députés et sénateurs), les cabinets ministériels et les exécutifs régionaux, départementaux et municipaux (grandes villes & agglomérations) - directions des grandes entreprises, corps intermédiaires, parties prenantes, influenceurs et médias.",Print,l-hemicyle::print
L'HOTELLERIE RESTAURATION,l-hotellerie-restauration,Hôtellerie-Restauration,"Cafetiers, hôteliers, restaurateurs, tabacs","Print,Web,NL","l-hotellerie-restauration::print,l-hotellerie-restauration::web::620x90-360x60mobile,l-hotellerie-restauration::nl"
L'INDUSTRIE HOTELIERE,l-industrie-hoteliere,Hôtellerie-Restauration,"Cafés, bars, restaurateurs, hôteliers, professionnels de la restauration",Print,l-industrie-hoteliere::print
L'INFIRMIERE MAGAZINE,l-infirmiere-magazine,Soins Infirmiers,"Infirmières hospitalières (secteurs public et privé), infirmières extrahospitalières, libérales",Print,l-infirmiere-magazine::print
L'INFORMATICIEN,l-informaticien,Direction informatique,Décideurs IT,Print,l-informaticien::print
L'INFORMATION DENTAIRE,l-information-dentaire,Dentistes,Chirurgiens-dentistes,"Print,Web,NL","l-information-dentaire::print,l-information-dentaire::web::300x600-300x250mobile,l-information-dentaire::web::1160x90-320x50mobile,l-information-dentaire::nl"
L'INFORMATION PSYCHIATRIQUE,l-information-psychiatrique,Psychiatres,"Psychiatres, neurologues, psychologues hôpital et ville",Print,l-information-psychiatrique::print
L'INSTALLATEUR,l-installateur,Bâtiment - Artisanat,"Plombiers, chauffagistes, couvreurs (chauffage, climatisation, ventilation, plomberie sanitaire).",Print,l-installateur::print
L'OFFICIEL DES CUISINISTES,l-officiel-des-cuisinistes,Restauration collective,"Cuisinistes français, fabricants meubles & electromenager, et artisans",Print,l-officiel-des-cuisinistes::print
L'OFFICIEL DES TERRAINS DE CAMPING,l-officiel-des-terrains-de-camping,Tourisme,Professionnels du camping,Print,l-officiel-des-terrains-de-camping::print
L'OFFICIEL DES TRANSPORTEURS,l-officiel-des-transporteurs,Industrie : Transport logistique,Décideurs du transport routier de marchandises,"Print,Web,NL","l-officiel-des-transporteurs::print,l-officiel-des-transporteurs::web::300x600-300x250mobile,l-officiel-des-transporteurs::web::1000x90,l-officiel-des-transporteurs::nl"
L'OPINION,l-opinion,Dirigeants de TPE/PME,"Chefs d'entreprise, top managers, décideurs en entreprise","Web,NL","l-opinion::web::1000x200-300x600-300x250mobile,l-opinion::nl"
L'OPTICIEN LUNETIER,l-opticien-lunetier,Opticiens,"81% d'opticiens, ophtalmologistes et audioprothésistes, designers et fabricants d'optique","Print,Web,NL","l-opticien-lunetier::print,l-opticien-lunetier::web::300x250,l-opticien-lunetier::web::728x90,l-opticien-lunetier::nl"
L'OUIE MAGAZINE,l-ouie-magazine,ORL,"82% les audioprothésistes, 3,8% les fabricants, 2,1% les centrales d'achats, 2% les coopératives, 1,8% les succursalistes, 1,5% les franchiseurs et 1,5% les étudiants et les écoles",Print,l-ouie-magazine::print
LA BOUCHERIE FRANCAISE,la-boucherie-francaise,Boucherie Charcuterie,"Bouchers, charcutiers, traiteurs et détaillants",Print,la-boucherie-francaise::print
LA CLASSE,la-classe,Education,Professeurs des écoles,Print,la-classe::print
LA CLASSE + FICHE PEDAGOGIQUES,la-classe-fiche-pedagogiques,Education,Directeurs et enseignants des cycles 2 et 3,"Web,NL","la-classe-fiche-pedagogiques::web::300x600-300x250mobile,la-classe-fiche-pedagogiques::nl"
LA CLASSE MATERNELLE,la-classe-maternelle,Education,Professeurs des écoles de maternelles,Print,la-classe-maternelle::print
LA CUISINE PRO (LA RPF),la-cuisine-pro-la-rpf,Restauration collective,"Chef de cuisine, responsable production, responsable d'unité, gestionnaire de la restauration, responsable technique, responsable logistique, intendant, responsable achats",Print,la-cuisine-pro-la-rpf::print
LA DEPECHE,la-depeche,Industrie : Alimentation,"Courtiers, négociants, coopératives, industriels de première et deuxième transformation, meuniers, malteurs, brasseurs, semouliers, administrations, exportateurs et importateurs, semenciers et grosses exploitations céréalières",Print,la-depeche::print
LA DEPECHE VETERINAIRE,la-depeche-veterinaire,Vétérinaires,"Vétérinaires et cliniques vétérinaires, cadres de l'industrie vétérinaire et de la fonction publique",Print,la-depeche-veterinaire::print
LA FRANCE AGRICOLE,la-france-agricole,Agriculture,Chefs d'exploitations agricoles,"Print,Web,NL","la-france-agricole::print,la-france-agricole::web::300x600,la-france-agricole::web::728x90-300x250,la-france-agricole::nl"
LA GAZETTE DU LABORATOIRE,la-gazette-du-laboratoire,Laboratoires,"Techniciens, ingénieurs, chercheurs des secteurs pharma, cosmétique, chimie, biotechnologie, agroalimentaire",Print,la-gazette-du-laboratoire::print
LA GAZETTE DU PALAIS,la-gazette-du-palais,Professionnels du droit,"Avocats, autres professions judiciaires, juristes en entreprises, étudiants",Print,la-gazette-du-palais::print
LA LETTRE DU CANCEROLOGUE,la-lettre-du-cancerologue,Oncologie,"Oncologues 1ère ou 2ème spécialité, radiothérapeutes, pharmaciens",Print,la-lettre-du-cancerologue::print
LA LETTRE DU CARDIOLOGUE,la-lettre-du-cardiologue,Cardiologie,"Cardiologues hospitaliers et libéraux, chirurgiens cardiaques",Print,la-lettre-du-cardiologue::print
LA LETTRE DU GYNECOLOGUE,la-lettre-du-gynecologue,Gynécologie,Gynécologues Obstétriciens Libéraux et Hospitaliers,Print,la-lettre-du-gynecologue::print
LA LETTRE DU NEUROLOGUE,la-lettre-du-neurologue,Neurologie,"Neurologues hospitaliers et libéraux, neurochirurgiens",Print,la-lettre-du-neurologue::print
LA LETTRE DU PSYCHIATRE,la-lettre-du-psychiatre,Psychiatres,"Psychiatres, pédopsychiatres hospitaliers et libéraux",Print,la-lettre-du-psychiatre::print
LA LETTRE DU RHUMATOLOGUE,la-lettre-du-rhumatologue,Rhumatologie,"Rhumatologues hospitaliers et libéraux, rééducateurs, médecins du sport",Print,la-lettre-du-rhumatologue::print
LA METEO AGRICOLE,la-meteo-agricole,Agriculture,Agriculteurs,Web,la-meteo-agricole::web::728x90-300x600
LA PROFESSION COMPTABLE,la-profession-comptable,Professionnels de la finance,"Experts-Comptables, Commissaires aux Comptes, dirigeants de cabinets et des partenaires de la profession","Print,Web,NL","la-profession-comptable::print,la-profession-comptable::web::728x91,la-profession-comptable::web::236x472,la-profession-comptable::nl"
LA REVUE ADMINISTRATION & INTENDANCE,la-revue-administration-intendance,Education,"Magazine édité par l'UNSA. Education nationale, Enseignement supérieur, Jeunesse et Sports, Personnel de l'administration générale et de l'intendance, Responsables de la restauration scolaire et universitaire,",Print,la-revue-administration-intendance::print
LA REVUE DE L'INFIRMIERE,la-revue-de-l-infirmiere,Soins Infirmiers,"Infirmières hospitalières (secteurs public et privé), infirmières extrahospitalières, libérales",Print,la-revue-de-l-infirmiere::print
LA REVUE DES OPTICIENS,la-revue-des-opticiens,Opticiens,"Actualité sur la profession, technique, actualité, législation, santé visuelle, tendances.",Print,la-revue-des-opticiens::print
LA REVUE DES TABACS,la-revue-des-tabacs,Hôtellerie-Restauration,"Buralistes, grossistes, distributeurs et fabricants en tabac : cafés, bars, tabacs",Print,la-revue-des-tabacs::print
LA REVUE DU PRATICIEN,la-revue-du-praticien,Médecins Généralistes,Médecins généralistes et étudiants,Print,la-revue-du-praticien::print
"LA REVUE DU PRATICIEN, MEDECINE GENERALE",la-revue-du-praticien-medecine-generale,Médecins Généralistes,Médecins généralistes,Print,la-revue-du-praticien-medecine-generale::print
LA REVUE DU TROMBINOSCOPE,la-revue-du-trombinoscope,Politique,"Députés, ministres, commissaires européens, sénateurs et eurodéputés",Print,la-revue-du-trombinoscope::print
LA REVUE FISCALE DU PATRIMOINE,la-revue-fiscale-du-patrimoine,Professionnels de la finance,"Notaires, Etablissements bancaires et financiers, professionnels de la gestion de patrimoine, avocats, avocats conseils d'entreprises",Print,la-revue-fiscale-du-patrimoine::print
LA REVUE GENERALE DES CHEMINS DE FER,la-revue-generale-des-chemins-de-fer,Industrie : Transport logistique,"Leaders d'opinion du secteur ferroviaire, ingénieurs, cadres techniques",Print,la-revue-generale-des-chemins-de-fer::print
LA REVUE PRATIQUE DU FROID ET DU CONDITIONNEMENT D'AIR (LA RPF),la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf,Bâtiment - Artisanat,"43% froid industriel, 36% conditionnement d'air, 15% cuisines professionnelles et 6% autres.","Print,Web","la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::print,la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::web::300x250,la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::web::728x90,la-revue-pratique-du-froid-et-du-conditionnement-d-air-la-rpf::nl"
LA REVUE SCOLAIRE ET UNIVERSITAIRE,la-revue-scolaire-et-universitaire,Médecine scolaire,Médecins exerçant en milieu scolaire et universitaire,Print,la-revue-scolaire-et-universitaire::print
LA SEMAINE JURIDIQUE (5 EDITIONS),la-semaine-juridique-5-editions,Professionnels du droit,"Avocats, notaires, experts comptables, juridictions, administrations, collectivités, juristes, enseignants, ressources humaines",Print,la-semaine-juridique-5-editions::print
LA SEMAINE JURIDIQUE (EDITION ADMINISTRATIONS ET COLLECTIVITÉS TERRITORIALES),la-semaine-juridique-edition-administrations-et-collectivit-s-territoriales,Collectivités locales,"Directeurs généraux des services, responsables juridiques et financiers des administrations et collectivités, avocats",Print,la-semaine-juridique-edition-administrations-et-collectivit-s-territoriales::print
LA SEMAINE JURIDIQUE (EDITION GENERALE),la-semaine-juridique-edition-generale,Professionnels du droit,"Avocats, magistrats, tous professionnels du droit, étudiants en droit",Print,la-semaine-juridique-edition-generale::print
LA SEMAINE JURIDIQUE (EDITION NOTARIALE ET IMMOBILIÈRE),la-semaine-juridique-edition-notariale-et-immobili-re,Notaires,"Notaires et leurs collaborateurs, professionnels de l'immobilier et de la gestion de patrimoine",Print,la-semaine-juridique-edition-notariale-et-immobili-re::print
LA SEMAINE JURIDIQUE (EDITION SOCIALE),la-semaine-juridique-edition-sociale,Ressources Humaines,"Avocats en droit du travail, professionnels des ressources humaines, de la formation et de la protection sociale",Print,la-semaine-juridique-edition-sociale::print
LA SEMAINE JURIDIQUE (ENTREPRISE & AFFAIRE),la-semaine-juridique-entreprise-affaire,Dirigeants de TPE/PME,"Avocats, avocats d’affaires, juristes d’entreprise, conseils d’entreprise, experts-comp- tables, fiscalistes",Print,la-semaine-juridique-entreprise-affaire::print
LA SEMAINE VETERINAIRE,la-semaine-veterinaire,Vétérinaires,Vétérinaires,Print,la-semaine-veterinaire::print
LA TOQUE MAGAZINE,la-toque-magazine,Boulangerie Pâtisserie,"Boulangers, pâtissiers, confiseurs, chocolatiers, traiteurs, glaciers, meuniers, industriels de la panification, distributeurs de matériels…","Print,Web,NL","la-toque-magazine::print,la-toque-magazine::web::1000x90-320x120,la-toque-magazine::web::300x600-300x250mobile,la-toque-magazine::nl"
LA TRIBUNE,la-tribune,Dirigeants de TPE/PME,"Chefs d'entreprise, top managers, décideurs en entreprise","Web,NL","la-tribune::web::728x90-300x600-300x250mobile,la-tribune::nl"
LA TRIBUNE DE L'ASSURANCE,la-tribune-de-l-assurance,Assurance,"Institutionnels (compagnies d'assurance et de réassurance, mutuelles, IP), réseaux de distribution (courtiers, agents généraux et gestionnaires de patrimoine), dirigeants et cadres","Print,Web,NL","la-tribune-de-l-assurance::print,la-tribune-de-l-assurance::web::970x250,la-tribune-de-l-assurance::web::300x250,la-tribune-de-l-assurance::nl"
LA TRIBUNE DES AUTO-ECOLES,la-tribune-des-auto-ecoles,Services,Gérants d'auto-écoles,"Print,Web,NL","la-tribune-des-auto-ecoles::web::322x322,la-tribune-des-auto-ecoles::web::730x90,la-tribune-des-auto-ecoles::nl,la-tribune-des-auto-ecoles::print"
LA TRIBUNE DU RESEAU PRESSE,la-tribune-du-reseau-presse,Distribution Spécialisée,"Dépositaires de presse, éditeurs (presse librairie et multimédia), diffuseurs, entreprises de messageries.",Print,la-tribune-du-reseau-presse::print
LAITERIES MAG,laiteries-mag,Alimentation,"Responsables des coopératives et industries laitières, directions générales, responsables usines, directions de production, directions des achats",Print,laiteries-mag::print
LE BATIMENT ARTISANAL,le-batiment-artisanal,Bâtiment - Artisanat,"Magazine de la CAPEB, regroupe toutes les professions du bâtiment",Print,le-batiment-artisanal::print
LE BIJOUTIER,le-bijoutier,Mode,"Horlogers, bijoutiers, joailliers et orfèvres français. Détaillants, groupements, fabricants, distributeurs, acheteurs France + Etranger.",Print,le-bijoutier::print
LE BLOG DU DIRIGEANT,le-blog-du-dirigeant,Dirigeants de TPE/PME,Dirigeants d'entreprises,"Web,NL","le-blog-du-dirigeant::web::728x90floorad-300x600-300x250mobile,le-blog-du-dirigeant::nl"
LE CHEF,le-chef,Hôtellerie-Restauration,Chefs de cuisine en restauration traditionnelle gastronomique et en restauration collective,Print,le-chef::print
LE CHIRURGIEN DENTISTE DE FRANCE,le-chirurgien-dentiste-de-france,Dentistes,Chirurgiens-dentistes,Print,le-chirurgien-dentiste-de-france::print
LE CONCOURS MEDICAL,le-concours-medical,Médecins Généralistes,"Médecins généralistes, médecins et pôles de santé, centres de santé",Print,le-concours-medical::print
LE COURRIER DE LA TRANSPLANTATION,le-courrier-de-la-transplantation,Chirurgie,"Membres de la SFT, services de transplantation, néphrologues, cardiologues et chirurgiens cardiaques",Print,le-courrier-de-la-transplantation::print
LE COURRIER DU MEUBLE ET DE L'HABITAT,le-courrier-du-meuble-et-de-l-habitat,Ameublement,"Tous les professionnels du meuble : fabricants, négociants, centrales d'achats, designers, fournisseurs de l'ameublement, détaillants et représentants","Print,Web,NL","le-courrier-du-meuble-et-de-l-habitat::print,le-courrier-du-meuble-et-de-l-habitat::web::728x90,le-courrier-du-meuble-et-de-l-habitat::nl"
LE JOURNAL DE L'AUTOMOBILE,le-journal-de-l-automobile,Garagistes,"Réseaux de distribution (61%), Après-vente (17%), Constructeurs (15%), Equipementiers (4%), Divers (3%)","Print,Web,NL","le-journal-de-l-automobile::print,le-journal-de-l-automobile::web::1000x150,le-journal-de-l-automobile::web::300x600-300x250mobile,le-journal-de-l-automobile::nl"
LE JOURNAL DE LA MARINE MARCHANDE,le-journal-de-la-marine-marchande,Industrie : Transport logistique,"Chargeurs : 50%, Armateurs, Agents maritimes: 20%, Autorités Portuaires: 11%, Logisticiens: 9%, Construction Navale: 4%, Secteur bancaire, administration etc. : 3%, Autres: 3%",Print,le-journal-de-la-marine-marchande::print
LE JOURNAL DES FLOTTES,le-journal-des-flottes,Responsables flottes,Décideurs opérationnels de gestion de flotte,"Print,Web,NL","le-journal-des-flottes::print,le-journal-des-flottes::web::300x600-300x250mobile,le-journal-des-flottes::web::1000x150,le-journal-des-flottes::nl"
LE JOURNAL DES FLUIDES,le-journal-des-fluides,Divers,"Bureaux d'études et de recherches, services techniques et productions des secteurs : pompage, filtration, robinetterie",Print,le-journal-des-fluides::print
LE JOURNAL DES PATISSIERS,le-journal-des-patissiers,Boulangerie Pâtisserie,"Pâtissiers, boulangers-pâtissiers, glaciers, chocolatiers, confiseurs, traiteurs",Print,le-journal-des-patissiers::print
LE JOURNAL DU POIDS LOURD,le-journal-du-poids-lourd,Industrie : Transport logistique,Flottes de transporteurs et des réparateurs poids lourds,Print,le-journal-du-poids-lourd::print
LE JOURNAL DU VILLAGE DE LA JUSTICE,le-journal-du-village-de-la-justice,Professionnels du droit,Avocats,Print,le-journal-du-village-de-la-justice::print
LE JOURNAL DU VILLAGE DES NOTAIRES,le-journal-du-village-des-notaires,Notaires,"Notaires, centres de formation des notaires, institutions",Print,le-journal-du-village-des-notaires::print
LE JOURNAL DU VRAC,le-journal-du-vrac,Industrie : technologie,"28% Agroalimentaire, 23% Industries, plastiques, chimie et pharmacie, 21% Ciments et minéraux, 13% Recyclage, environnement, bois et biosmasse, 10% Nutrition animale, 3% Fonderie et sidérurgie, 2% Verre et céramique",Print,le-journal-du-vrac::print
LE LIEN HORTICOLE,le-lien-horticole,Culture,"Horticulteurs, maraîchers, pépiniéristes, jardineries, paysagistes",Print,le-lien-horticole::print
LE MARIN,le-marin,Industrie : Alimentation,"Professionnels de l’économie maritime, de la pêche, du transport maritime, de la construction navale civile et de défense, industries nautiques,offshore,gestion du littoral et environnement.",Print,le-marin::print
LE MEDIA SOCIAL,le-media-social,Social,"Travailleurs sociaux, cadres, directeurs d’établissement et décideurs institutionnels",Web,le-media-social::web::728x90-300x250
LE MONDE DU SURGELE,le-monde-du-surgele,Distribution Spécialisée,"Restauration commerciale 50%, restauration collective 25 %, distributeurs 20 %, divers 5%",Print,le-monde-du-surgele::print
LE MONITEUR DES PHARMACIES,le-moniteur-des-pharmacies,Pharmaciens,"Pharmaciens titulaires, pharmaciens d’officines, équipes officinales","Print,Web,NL","le-moniteur-des-pharmacies::print,le-moniteur-des-pharmacies::web::728x90-320x50mobile,le-moniteur-des-pharmacies::web::300x600,le-moniteur-des-pharmacies::nl"
LE NOUVEL ECONOMISTE,le-nouvel-economiste,Dirigeants de TPE/PME,"31% Grandes entreprises (>500 salariés), 41% PME (de 10 à 500 salariés), 12% TPE, artisans & commerçants et 16% Professions libérales","Print,Web,NL","le-nouvel-economiste::print,le-nouvel-economiste::web::300x250,le-nouvel-economiste::web::820x250,le-nouvel-economiste::nl"
LE PAPETIER DE FRANCE,le-papetier-de-france,Distribution Spécialisée,"18% étranger, 1,5% grossistes, VPC 1,5%, e-commerce 5 %, superstores  8%, GMS 9,7%, fournitures 25%, détaillants 30%","Print,Web,NL","le-papetier-de-france::print,le-papetier-de-france::web::728x90,le-papetier-de-france::web::300x250,le-papetier-de-france::nl"
LE PHARMACIEN DE FRANCE,le-pharmacien-de-france,Pharmaciens,Titulaires d'officines,Print,le-pharmacien-de-france::print
LE PODOLOGUE,le-podologue,Podologues,Podologues,Print,le-podologue::print
LE POINT VETERINAIRE,le-point-veterinaire,Vétérinaires,Vétérinaires,"Print,Web,NL","le-point-veterinaire::print,le-point-veterinaire::web::980x90,le-point-veterinaire::web::300x250,le-point-veterinaire::nl"
LE PRATICIEN EN ANESTHESIE REANIMATION,le-praticien-en-anesthesie-reanimation,Anesthésie - Réanimation - Urgence,"Anesthésistes, réanimateurs, services de médecine d'urgence",Print,le-praticien-en-anesthesie-reanimation::print
LE QUOTIDIEN DU MEDECIN,le-quotidien-du-medecin,Médecins Généralistes,"Généralistes, spécialistes (journal d'informations médicales et générales)",Print,le-quotidien-du-medecin::print
LE QUOTIDIEN DU MEDECIN (ETHIQUE),le-quotidien-du-medecin-ethique,Médecins Généralistes,Médecins généralistes et spécialistes,"Web,NL","le-quotidien-du-medecin-ethique::web::728x90-320x50-300x250,le-quotidien-du-medecin-ethique::web::300x600,le-quotidien-du-medecin-ethique::nl"
LE QUOTIDIEN DU MEDECIN (NON ETHIQUE),le-quotidien-du-medecin-non-ethique,Médecins Généralistes,Médecins généralistes et spécialistes,Web,"le-quotidien-du-medecin-non-ethique::web::728x90-320x50-300x250,le-quotidien-du-medecin-non-ethique::web::300x600"
LE QUOTIDIEN DU PHARMACIEN,le-quotidien-du-pharmacien,Pharmaciens,"Pharmaciens titulaires, pharmaciens d'officines, équipes officinales","Print,Web,NL","le-quotidien-du-pharmacien::print,le-quotidien-du-pharmacien::web::728x90-320x50mobile,le-quotidien-du-pharmacien::nl"
LES CAHIERS D'OPHTALMOLOGIE,les-cahiers-d-ophtalmologie,Ophtalmologie,Ophtalmologistes libéraux et hospitaliers,Print,les-cahiers-d-ophtalmologie::print
LES NOUVELLES DE LA BOULANGERIE-PATISSERIE,les-nouvelles-de-la-boulangerie-patisserie,Boulangerie Pâtisserie,"Artisans boulangers, pâtissiers, fournisseurs, équipementiers, écoles professionnelles…",Print,les-nouvelles-de-la-boulangerie-patisserie::print
LES NOUVELLES ESTHETIQUES,les-nouvelles-esthetiques,Esthétique,"90% Instituts de beauté, Esthéticiennes à domicile, Instituts d'ongles, Spas, Centres de thalasso, Clubs de remise en forme, Salons de coiffure, Cliniques de chirurgie esthétique, Ecoles d'esthétique, 3% Conseillères de vente, Chaînes de parfumerie, Paraphamarcies, 3% Laboratoires, fabricants et distributeurs de cosmétiques et matériels d'esthétique","Print,Web","les-nouvelles-esthetiques::print,les-nouvelles-esthetiques::web::300x250"
LES ROUTIERS,les-routiers,Artisans transporteurs,"32 % artisans transporteurs, 31 % chefs d'entreprises, 26% conducteurs routiers, 11% responsables de parc (taille des entreprises : de 1 à plus de 50 salariés)",Print,les-routiers::print
