variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,19/3/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,6/4/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,18/4/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/5/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,20/5/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/6/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,21/8/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/9/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,19/9/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/10/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,18/10/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/11/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Bouclage,19/11/2025,Mensuel,,
l-activite-immobiliere::print,L'ACTIVITE IMMOBILIERE,Print,Parution,7/12/2025,Mensuel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Bouclage,27/1/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Parution,18/2/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Bouclage,30/4/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Parution,22/5/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Bouclage,26/6/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Parution,22/8/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Bouclage,13/10/2025,Trimestriel,,
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,Print,Parution,21/11/2025,Trimestriel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,9/1/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,30/1/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,6/2/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,27/2/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,27/2/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,20/3/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,3/4/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,24/4/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,9/5/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,30/5/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,5/6/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,26/6/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,26/6/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,17/7/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,22/8/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,12/9/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,2/10/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,23/10/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,6/11/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,27/11/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Bouclage,27/11/2025,Mensuel,,
agefi-alpha::print,AGEFI ALPHA,Print,Parution,18/12/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,27/12/2024,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,17/1/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,24/1/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,14/2/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,21/2/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,14/3/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,26/3/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,16/4/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,25/4/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,16/5/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,28/5/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,18/6/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,20/6/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,11/7/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,28/8/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,18/9/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,26/9/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,17/10/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,23/10/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,13/11/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Bouclage,14/11/2025,Mensuel,,
agefi-actifs::print,AGEFI ACTIFS,Print,Parution,5/12/2025,Mensuel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Bouclage,17/1/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Parution,7/2/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Bouclage,7/3/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Parution,28/3/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Bouclage,25/4/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Parution,16/5/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Bouclage,12/9/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Parution,3/10/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Bouclage,31/10/2025,Bimestriel,,
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Parution,21/11/2025,Bimestriel,,
