variant_slug,support,canal,fichier_integre,fichier_url,type_de_format,notes
agenceur-magazine::print,AGENCEUR MAGAZINE,Print,Agenceur Magazine.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/5DTyWpwobTjyDhoet91gQA/mF-8OJmNsQI0GXZapiAeoVPNZA2M1HibulgvRuc_683nu1Q_9nc1qcDB7ZYFTuEqb8voZf43cuP0-z3uBxgtz1eCwdAKdbWkkUoyM2bKYRgI4NJGDsgQ9bPmge0ftqoENYnidMXOH0uWjJKPJ27j0oyyicN1Mm366uc8UWD1AFk/2-3ZlajKXB23xuTPjrgE3eTpL1DRpgXYP6aAG3A7VwI),,,
alternatives-economiques::print,ALTERNATIVES ECONOMIQUES,Print,Alternatives Economiques.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/eGXC872fRPL9DKpK3NFpgw/vOTeZxI5cLEVVjj6wXfr42ubZ4tWFcMN7jgQu-ob3oiDVy8t3GrUKKzReso8gwYNuZZENi57CpgWifuFt9El0oxWehPeqn4so3TMc9p8jVOFXo6vSk_0u9B2sedGZqXTrzzIM62f9UL47KxzvgG2YILmKqap6QxgFPVcFSWT21fRlos_7gWD7qGMubtxDBbi/5sm2kT3nq3v9cFUfUtu64VeocZWKB9a7HNcB0EBiXMs),,,
andrh::print,ANDRH,Print,ANDRH.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/n9QZ-o8PIpOkavw4kBy7ew/3gM_BlEVc3LHYh1Z-YizEGjU-0RZduNfwIywwK4f01BIXr8fWs3gJkisOVg4CIDnM5MOL7GxQmArBYi-rTCxXQkMt-HpyzHBXZ_vHk4tl80s_WFC2HFJgl_49lZfIC2HpNZ5V97su6avSq4V_jnzwg/aMpHeeMUrkbVyz6YedYR2baVSC3myYfb5ER7Ws1Iefk),,,
annales-de-biologie-clinique::print,ANNALES DE BIOLOGIE CLINIQUE,Print,,,,
architecture-a-vivre::print,ARCHITECTURE A VIVRE,Print,Architectures à vivre.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/5BrEJamtebQEMPK8NJ3dWw/z4hE4nNQWJeYkyKcMlUe3LOWgGKxzV6Wtv8BD4ka_lC9Ab_pFWZHDtwe6OWZZ94tw60vmdnA278TBTYeXCReepKX96pa7RDRC-WPcCHnx7RT00bVABlKPWJCIB9aVD4zLdBeIBu-TUc2EWR15GxxszOhDCpaduoLQi_4yqw4n3I/BG-SU2srmhXiCNtepx2waPKItRixlSrXPoBvQA77THY),,,
artisans-bois::print,ARTISANS & BOIS,Print,Artisans&Bois.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/A84zvByUKUnkviYMwRzTfw/k9IgdkfBmDndROvne-awPxFQR5MHaL5ujKfgeh2_aZZK_3bBnPvbg7cYR2JNNGskzOYaVz4ctNQ6pCWTPXtUn1QqAeNvFuooB2Y0xm9b6AOmUZL31pVJfMV52FdOOntxgScTwXPZ8Ps-AXonFBS7-W_BT4UAHj-uM2F5gT0cqBk/1xAkmw8lpzHj3cQ0W5fjr7KWgE60M16U5BH9_3Y3Xpk),,,
arts-metiers-mag::print,ARTS&METIERS MAG,Print,Arts & Métiers mag.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/IdzUrjPicikIq0GbkH74vA/Xsux06TcKJOdZQgAjCdvHGS88iPswm0girNYyRJHJbC7H2dqe1P-pfBki9WjXJ4-fIhJzA04KWZnM4VXVMdgZD1M36ffhNj89umPC6WCib2yC8Im_bGOIghNMnEhQxzBudCadOm1qFRkZprSwZS-JCzZ_YCvxFqnLuurKp364zs/7fQpAVg48h3T4CHuwk5DgIPO8yR-mk2xDDAuBdDRLA8),,,
au-coeur-du-chr::print,AU COEUR DU CHR,Print,Au Cœur du CHR.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/IEX1jYZ0rTUXyEmAlWocfw/7gYlmTNEkAVBIBIegfRm5D7bp4FZYCEdZvW71XTtp0pElAvJmmcJbJySGOrpDKYxsIft-eOTiJ8TcofntxGESAHRqa1VwrtmxQhPJJZXcE6lEfAVbdwcNd2tIb1lbYJyBGpj-o3Mq-VaEuMXK2i9k6ICK_oX9gCQdxikx-pa4Yk/Uq0Sfgi0B9ac2KhcniT9y8V-C4spDZjP0LGppHo6ZII),,,
audio-infos::print,AUDIO INFOS,Print,Audio Infos.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/Gey18UTqcgHjFromcNKuZw/YoovQ3L0MOru-9Smhc1c8jYbjXwa8KiTLaPpbOPA47P3ObYkdJ7N1wQvFNwTSnCA2oFbYKmbdKJJnuATIiM6m1jF7FRHTtMklTPDYSQn9EXzzn0wHMyqGHZoi85iPYnMaKVJYHcGQCRMjuMODzbCZ5BOWxOvZhGuT4h1GA1DfzA/Lmjj8l5vC6owU3qO46205d0PxYMD3ZgkHdCNoo4S7HM),,,
audiologie-demain::print,AUDIOLOGIE DEMAIN,Print,Audiologie Demain.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/4AccGu1ZTW49udglfE1DGw/dYbcy228qFSthEkWmz7nubBXifVzvFXBL2RQN8HNlXXjQ-RLHt-13XmCUeoe-Ex4Cemb4eXmTKQ6UO3beJaquKTrvu_FlLpbnGJRPLMLrEiZkye9C5sIUwROalmmMb6X1FDtTxf37dCB9Hfsizhlm1sW2xkRBbZlL7_dzHmkP2c/VZRs9G_o8pZsgcHxZbEjg7BYQdityH31mNzANUO68ps),,,
audiology-france::print,AUDIOLOGY FRANCE,Print,Audiology Infos.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/Z-1-6V1B-d-ffbdaQebBlw/C839oW_nRNmNXiEJM74FeoWSyEMyCSl747Wx6S4HIjVJfGQ3DDtho87pMGYrQuyRZpzOEEK8vxEu-gaeu2m27C6GZNbkf1moPnIRqriXZM0yyCx30-223eD4u_Nu84MNrtUANQ7b71PPSvj0VxYFp4x2rys2tnQ5wcWE9ggeXw0/O1Nmsk8pljAei124fJvXuk6V6uA5avcJ8pN0YM-gU2U),,,
autocar-et-bus-infos::print,AUTOCAR ET BUS INFOS,Print,Autocar et Bus Infos.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/98lBGST_to8XgltgTaLN2Q/dPWWP-5mkTQ5bFQ2CyRU_K1g6Ugp32of1_sD6d35uDjPewWeOQeRUoLoKiS55Av87wIz7X7Z3GuIftKAby4ys6V9a67aroITo6nBJOWGah8MYG5qdNYuj85qZKV0ZWBJ_Nm26PRr9oHAyi0n42pUNexNsw96ef3E0BfIp_Hzp_Y/Qmg7j5g_8u2_Cv2oEgG6LxlICKRDnT7CDHE4v8FoeNA),,,
bardage-info::print,BARDAGE INFO,Print,Bardage INFO.png (https://v5.airtableusercontent.com/v3/u/51/51/1773835200000/Ayj5k3oz4SmthDV62ewcMA/ZlsaKVPWS7Df4GILiY9lHFerSRSJVGmV2ojvjcjoumPTMIPkhyAKWJfpUfVLRubzjRvVMhUZkaelE854_rWnRFUB4qTLoTDx6Qx9PaVC8XsZ5MJOjk39MrxNptVrMkoc19SY0Wn_rsOXWrXSwZZzfyWaU_XVV2SAzBv3My-VH8c/gO9g7VFcNjNR3f9z4CxWbSZeidd_dqqphtp2gHqfQgA),,,
