variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
chaud-froid-performance::print,CHAUD FROID PERFORMANCE,chaud-froid-performance,Print,Mensuel,15000,210 x 297,,,,6860,4664.8
chocolat-confiserie-et-glace-magazine::print,CHOCOLAT CONFISERIE ET GLACE MAGAZINE,chocolat-confiserie-et-glace-magazine,Print,5 Numéros / an,2000,230 x 300,,,,2500,1700
conquerir::print,CONQUERIR,conquerir,Print,8 Numéros / an,18200,210 x 280,,,,5220,3549.6
construction-urbanisme::print,CONSTRUCTION URBANISME,construction-urbanisme,Print,Mensuel,2000,185 x 260,,,,1600,1088
copropriete-travaux::print,COPROPRIETE & TRAVAUX,copropriete-travaux,Print,Trimestriel,15000,230 x 300,,,,5800,3944
cosmetique-magazine::print,COSMETIQUE MAGAZINE,cosmetique-magazine,Print,Mensuel,9500,210 x 280,,,,9500,6460
culture-legumiere::print,CULTURE LEGUMIERE,culture-legumiere,Print,Bimestriel,9600,200 x 270,,,,2970,2019.6
cultures-marines::print,CULTURES MARINES,cultures-marines,Print,Mensuel,1200,210 x 297,,,,3370,2291.6
d-architecture::print,D'ARCHITECTURE,d-architecture,Print,Mensuel,10000,230 x 300,,,,7600,5168
d-o-actualites::print,D.O ACTUALITES,d-o-actualites,Print,Hebdomadaire,1500,210 x 297,,,,2500,1700
daf-mag::print,DAF MAG,daf-mag,Print,Trimestriel,7500,210 x 280,,,,7000,4760
decideurs-magazine::print,DECIDEURS MAGAZINE,decideurs-magazine,Print,Mensuel,35000,210 x 297,,,,6500,4420
decision-achats::print,DECISION ACHAT,decision-achats,Print,Trimestriel,23000,,,,,,
decision-durable::print,DECISION DURABLE,decision-durable,Print,2 numéros,55000,195 x 255,,,,11000,7480
decisions-hpa::print,DECISIONS HPA,decisions-hpa,Print,Mensuel,10000,250 x 340,,,,2500,1700
defrenois::print,DEFRENOIS,defrenois,Print,Hebdomadaire,7500,220 x 307,,,,3860,1853
dentaire-365-orthodontie::print,DENTAIRE 365 ORTHODONTIE,dentaire-365-orthodontie,Print,4 Numéros / an,,,,,,4050,2754
dentaire-365::print,DENTAIRE 365,dentaire-365,Print,16 Numéros / an,24829,210 x 297,,,,5700,3876
dermato-mag::print,DERMATO MAG,dermato-mag,Print,Trimestriel,2000,210 x 280,,,,2800,3876
dermatologie-pratique::print,DERMATOLOGIE PRATIQUE,dermatologie-pratique,Print,Mensuel,5229,290 x 430,,,,9900,6732
